R,L,Recall,Latency
8,32,0.0,0.0487194299697876
8,64,0.0,0.07764103412628175
8,128,0.0,0.13605308532714844
16,32,0.0,0.0673506736755371
16,64,0.0,0.10778465270996093
16,128,0.0,0.19562675952911376
